군구명,구분1,구분2,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07
서구,이용현황별,답,0.227,0.237,0.167,0.256,0.532,0.13,0.422,0.345,0.313,0.163,0.381,0.206,0.307,0.298,0.4,0.465,0.297,0.315,0.352,0.349,0.322,0.279,0.255,0.522
서구,이용현황별,주거용(대),0.392,0.371,0.353,0.296,0.418,0.411,0.316,0.389,0.351,0.349,0.36,0.333,0.337,0.302,0.317,0.306,0.328,0.356,0.299,0.313,0.332,0.296,0.324,0.281
서구,이용현황별,상업용(대),0.24,0.235,0.328,0.475,0.386,0.441,0.346,0.4,0.246,0.277,0.228,0.231,0.232,0.225,0.248,0.26,0.279,0.237,0.247,0.281,0.271,0.266,0.303,0.345
서구,이용현황별,임야,0.377,0.054,0.316,0.533,0.317,0.306,0.242,0.235,0.219,0.327,0.23,0.252,0.124,0.233,0.303,0.218,0.26,0.146,0.116,0.14,0.219,0.149,0.182,0.336
서구,이용현황별,공장용지,0.25,0.366,0.323,0.39,0.28,0.461,0.366,0.338,0.35,0.227,0.249,0.278,0.248,0.275,0.353,0.276,0.279,0.294,0.323,0.362,0.298,0.284,0.34,0.42
강화군,용도지역별,주거지역,0.435,0.189,0.287,0.187,0.221,0.377,0.213,0.443,0.458,0.33,0.329,0.527,0.47,0.453,0.669,0.439,0.336,0.297,0.284,0.321,0.313,0.231,0.387,0.356
강화군,용도지역별,상업지역,0.27,0.791,0.314,0.322,0.349,0.195,0.387,0.302,0.425,0.437,0.415,0.272,0.494,0.624,0.049,0.496,0.796,0.009,0.099,0.24,0.56,0.268,0.359,0.253
강화군,용도지역별,공업지역,0,0,0.236,0.221,0.099,0.254,0,0,0.716,0,0.356,0.347,0.29,0,0,0.399,0,0.453,0.105,0,0.299,0,0,0.106
강화군,용도지역별,녹지지역,0.235,0.154,0.177,0.159,0.144,0.092,0.313,0.223,0.252,0.252,0.17,0.363,0.23,0.28,0.223,0.223,0.312,0.282,0.221,0.235,0.31,0.289,0.287,0.26
강화군,용도지역별,보전관리지역,0.143,0.098,0.097,0.104,0.173,0.162,0.152,0.289,0.153,0.235,0.255,0.191,0.212,0.243,0.233,0.223,0.281,0.237,0.195,0.24,0.227,0.221,0.212,0.153
강화군,용도지역별,생산관리지역,0.169,0.181,0.275,0.215,0.104,0.234,0.253,0.18,0.259,0.164,0.2,0.268,0.24,0.306,0.264,0.232,0.22,0.244,0.199,0.237,0.246,0.227,0.263,0.145
강화군,용도지역별,계획관리지역,0.236,0.27,0.228,0.251,0.298,0.278,0.22,0.33,0.312,0.315,0.327,0.386,0.347,0.338,0.342,0.319,0.307,0.306,0.269,0.306,0.287,0.308,0.273,0.243
강화군,용도지역별,농림지역,0.187,0.152,0.214,0.226,0.099,0.187,0.243,0.186,0.17,0.155,0.216,0.161,0.194,0.2,0.177,0.227,0.219,0.182,0.228,0.202,0.227,0.193,0.206,0.332
강화군,이용현황별,전,0.233,0.214,0.132,0.213,0.274,0.262,0.225,0.242,0.256,0.277,0.238,0.353,0.304,0.294,0.365,0.486,0.44,0.344,0.306,0.365,0.352,0.339,0.266,0.205
강화군,이용현황별,답,0.237,0.154,0.187,0.258,0.198,0.202,0.196,0.159,0.242,0.202,0.185,0.154,0.21,0.256,0.253,0.353,0.313,0.268,0.286,0.268,0.239,0.27,0.254,0.291
강화군,이용현황별,주거용(대),0.191,0.263,0.23,0.277,0.172,0.243,0.213,0.345,0.244,0.297,0.458,0.531,0.499,0.398,0.359,0.046,0.077,0.25,0.208,0.195,0.254,0.227,0.283,0.335
강화군,이용현황별,상업용(대),0.337,0.368,0.378,0.14,0.004,0.212,0.287,0.386,0.496,0.238,0.299,0.19,0.318,0.357,0.412,0.633,0.631,0.384,0.314,0.415,0.388,0.248,0.27,0.174
강화군,이용현황별,임야,0.08,0.081,0.145,0.083,0.094,0.128,0.171,0.212,0.102,0.18,0.09,0.077,0.1,0.193,0.131,0.141,0.168,0.088,0.148,0.169,0.149,0.158,0.184,0.295
강화군,이용현황별,공장용지,0,0,0.35,0.329,0,0.376,0,0,0.517,0,0.257,0.514,0.162,0.182,0.006,0.403,0.22,0.182,0.107,0.136,0.386,0.01,0.074,0.056
