시점,전국,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주특별자치도
2013.08,-0.13,-0.41,-0.1,0.63,-0.14,-0.06,-0.26,-0.16,-0.24,-0.23,-0.07,0.05,0.06,-0.09,-0.22,0.27,-0.07,-0.09
2013.09,0.05,0,-0.04,0.49,0,-0.02,-0.07,-0.02,0.04,0,0.1,0.12,0.1,-0.1,-0.07,0.35,0.06,-0.06
2013.1,0.29,0.33,0.16,0.73,0.35,0.08,0.2,0.2,0.3,0.32,0.18,0.09,0.36,-0.02,-0.07,0.56,0.24,0.06
2013.11,0.19,0.06,0.08,0.85,0.32,0.14,0.15,0.24,0.23,0.15,0.18,0.17,0.47,0.02,-0.02,0.45,0.11,0.13
2013.12,0.16,-0.03,0.08,1.15,0.12,0.02,0.16,0.03,0.15,0.12,0.18,0.3,0.35,0.02,-0.06,0.49,0.07,0.36
2014.01,0.24,0.23,0.02,1.2,0.05,0.02,0.32,0.05,0.18,0.21,0.09,0.21,0.31,0,-0.14,0.79,0.11,0.28
2014.02,0.2,0.23,0.08,0.67,0.15,0.21,-0.02,0.18,0.13,0.29,-0.03,0.04,0.14,-0.07,-0.1,0.47,0.09,0.1
2014.03,0.23,0.22,0.08,0.54,0.33,0.06,0.03,0.21,-0.01,0.34,0.03,0.21,0.26,0.03,-0.07,0.36,0.18,-0.01
2014.04,0.06,-0.01,0.05,0.51,0.13,0.12,-0.04,0.24,-0.01,-0.07,-0.03,0.12,0.25,-0.11,-0.02,0.31,0.2,0.02
2014.05,0.02,-0.07,0.05,0.38,0.04,0.05,-0.12,0.26,-0.17,-0.1,0,0.13,0.15,-0.08,0.01,0.23,0.14,0
2014.06,0.02,-0.07,0.04,0.19,-0.02,0.03,-0.07,0.39,-0.07,-0.04,-0.05,0.16,0.22,-0.08,-0.11,0.17,0.13,-0.14
2014.07,0.04,-0.04,0.09,0.2,0.02,0.12,-0.01,0.39,-0.18,-0.03,-0.01,0.19,0.14,-0.12,-0.14,0.13,0.15,0.05
2014.08,0.09,0.05,0.09,0.29,0.07,0.1,0.08,0.31,-0.17,0.11,0.02,0.09,0.04,-0.06,-0.13,0.13,0.22,0.11
2014.09,0.24,0.25,0.13,0.44,0.22,0.14,0.18,0.31,-0.07,0.38,0.03,0.26,0.14,0.03,0.04,0.19,0.22,0.11
2014.1,0.24,0.25,0.2,0.43,0.22,0.17,0.2,0.25,0.18,0.3,0.09,0.32,0.25,0,0,0.25,0.28,0.17
2014.11,0.17,0.1,0.15,0.6,0.15,0.15,0.07,0.22,-0.02,0.2,0.06,0.33,0.19,-0.02,0,0.24,0.2,0.12
2014.12,0.14,0,0.15,0.64,0.08,0.25,0.03,0.26,0.02,0.13,0.15,0.28,0.14,-0.02,-0.12,0.24,0.2,0.61
2015.01,0.14,0.09,0.09,0.46,0.08,0.27,0.04,0.1,-0.04,0.17,0.09,0.2,0.1,-0.01,-0.02,0.23,0.15,0.57
2015.02,0.2,0.2,0.19,0.45,0.16,0.29,0.03,0.2,0,0.3,0.1,0.24,0.1,-0.01,-0.13,0.22,0.12,0.4
2015.03,0.3,0.36,0.28,0.5,0.37,0.57,0.12,0.18,-0.02,0.4,0.12,0.23,0.11,0.06,-0.01,0.3,0.19,0.48
2015.04,0.43,0.51,0.38,0.87,0.5,1.06,0.04,0.34,0,0.6,0.27,0.19,0.17,0.01,0,0.27,0.17,0.35
2015.05,0.34,0.44,0.28,0.79,0.38,0.59,0.03,0.28,-0.01,0.48,0.21,0.1,0.1,-0.04,0.07,0.18,0.14,0.26
2015.06,0.38,0.5,0.39,0.91,0.44,0.71,0.01,0.39,-0.02,0.48,0.19,0.05,0.1,-0.05,0.11,0.3,0.14,0.45
2015.07,0.28,0.38,0.26,0.78,0.29,0.44,-0.04,0.28,-0.03,0.35,0.1,0.05,0.02,0.04,0.17,0.19,0.08,0.82
2015.08,0.27,0.37,0.18,0.8,0.23,0.34,0.01,0.21,-0.01,0.32,0.15,0.09,0.04,0.07,0.07,0.3,0.08,0.56
2015.09,0.33,0.45,0.29,0.98,0.25,0.26,-0.03,0.34,-0.01,0.37,0.23,0.1,0.02,0.11,0.1,0.36,0.17,0.63
2015.1,0.33,0.46,0.39,0.7,0.24,0.41,0.07,0.33,0.02,0.44,0.23,0,0.03,0.06,0.18,0.18,0.13,0.49
2015.11,0.31,0.46,0.47,0.45,0.23,0.54,0.1,0.28,0.01,0.34,0.32,-0.08,0.07,0.08,0.24,0.08,0.15,1.02
2015.12,0.15,0.29,0.17,0,0.15,0.21,-0.03,0.24,0.02,0.14,0.18,-0.06,-0.09,0.01,0.13,0,0.11,1.78
2016.01,0.04,0.05,0.05,-0.14,0.01,0.07,-0.06,0.19,0.02,0.04,0.09,-0.03,-0.11,0,0.15,-0.07,0.01,2.05
2016.02,0,0,0.07,-0.2,-0.03,0.03,-0.03,0.16,0.04,0,0.08,-0.01,-0.17,-0.02,0.02,-0.09,0,0.99
2016.03,0,0.01,0.08,-0.23,0,0.06,0.05,0.08,0.1,-0.01,0.07,-0.06,-0.13,0,0.05,-0.11,0.02,0.44
2016.04,0.02,0.08,0.14,-0.23,0,0.13,0,0.1,0.05,0.01,0.11,-0.05,-0.14,0,0.09,-0.12,0.02,0.21
2016.05,0.03,0.15,0.13,-0.12,0.05,0.01,0.01,0.11,0.03,0.06,0.11,-0.05,-0.17,0,0.12,-0.18,-0.04,0
2016.06,0.04,0.22,0.18,-0.27,0.1,-0.04,-0.02,-0.03,0.01,0.1,0.08,-0.12,-0.15,-0.05,0.01,-0.21,-0.08,0.03
2016.07,0.04,0.23,0.21,-0.15,0.09,-0.07,0.02,-0.14,0.1,0.08,0.09,-0.14,-0.16,0,0.03,-0.24,-0.07,0.03
2016.08,0.07,0.26,0.35,-0.21,0.15,-0.06,0.03,-0.11,0.08,0.09,0.11,-0.13,-0.15,0.01,0.09,-0.2,-0.05,0.07
2016.09,0.08,0.26,0.35,-0.12,0.08,-0.02,0.03,0.01,0.03,0.08,0.1,-0.06,-0.05,-0.02,0.05,-0.15,-0.07,0.13
2016.1,0.17,0.43,0.59,-0.07,0.12,0.06,0.05,0.08,0.07,0.17,0.17,-0.06,-0.1,0.05,0.13,-0.09,-0.07,0.16
2016.11,0.15,0.35,0.59,-0.05,0.13,0.08,0.09,0.02,0.13,0.17,0.18,0,-0.13,0.05,0.11,-0.12,-0.09,0.24
2016.12,0.07,0.09,0.41,-0.06,0.08,0.1,0.09,-0.04,0.13,0.06,0.14,0,-0.06,0.09,0.2,-0.1,-0.16,0.22
2017.01,0.02,0.03,0.23,-0.07,-0.03,0.08,0.12,-0.12,0.08,0.01,0.1,-0.06,-0.1,0.03,0.09,-0.06,-0.06,0.14
2017.02,0.01,0.05,0.18,-0.08,-0.06,0.03,0.06,-0.06,0,0.01,0.08,-0.04,-0.04,0.06,0.06,-0.1,-0.05,0.06
2017.03,0.06,0.13,0.17,-0.05,0.04,0.01,0.08,0.01,0,0.04,0.17,-0.03,-0.06,0.08,0.1,-0.08,0.04,0.03
2017.04,0.1,0.23,0.28,-0.04,0.07,0.05,0.09,-0.05,0.2,0.1,0.26,-0.04,-0.1,0.12,0.2,-0.07,-0.07,0.04
2017.05,0.14,0.35,0.39,-0.09,0.08,0.12,0.03,-0.06,0.66,0.13,0.25,-0.01,-0.06,0.24,0.34,-0.06,-0.1,-0.01
2017.06,0.21,0.66,0.38,0,0.11,0.07,0.04,-0.11,1.67,0.18,0.19,-0.02,-0.05,0.16,0.21,-0.04,-0.08,-0.02
2017.07,0.18,0.41,0.29,0.08,0.14,0.18,0.08,-0.05,0.69,0.24,0.2,-0.05,0,0.17,0.21,-0.04,-0.16,0.19
2017.08,0.25,0.45,0.23,0.46,0.35,0.21,0.23,-0.13,0.54,0.34,0.27,-0.08,-0.05,0.25,0.3,-0.04,-0.17,0.32
2017.09,0.12,0.07,0.1,0.32,0.29,0.2,0.19,-0.02,0.17,0.18,0.33,-0.06,0.02,0.25,0.19,-0.01,-0.19,0.31
2017.1,0.13,0.23,0.05,0.29,0.2,0.24,0.19,-0.08,0.1,0.17,0.3,0.01,0.06,0.27,0.24,-0.11,-0.25,0.21
2017.11,0.13,0.36,0.03,0.26,0.18,0.08,0.27,-0.21,0.07,0.18,0.23,0.1,-0.1,0.22,0.21,-0.13,-0.36,0.21
2017.12,0.11,0.59,0,0.21,0.02,0.05,0.1,-0.2,0.06,0.06,0,-0.08,-0.05,0.12,0.08,-0.15,-0.19,0.17
2018.01,0.14,0.86,-0.07,0.25,0.01,0.15,0.14,-0.3,0.21,0.08,-0.05,-0.17,-0.13,0.02,0.17,-0.18,-0.31,0.09
2018.02,0.2,0.94,-0.08,0.16,0.08,0.16,0.15,-0.26,0.16,0.19,0.07,-0.2,-0.18,0,0.2,-0.08,-0.24,0.17
2018.03,0.12,0.55,-0.08,0.2,0.07,0.23,0.11,-0.24,0.21,0.17,0.09,-0.09,-0.19,-0.05,0.14,-0.09,-0.25,0.08
2018.04,0.06,0.31,-0.12,0.33,0.02,0.21,0.06,-0.41,0.32,0.13,-0.05,-0.18,-0.19,0.01,0.14,-0.14,-0.29,-0.02
2018.05,-0.03,0.21,-0.12,0.26,-0.03,0.2,-0.01,-0.69,0.17,0.04,-0.15,-0.22,-0.2,-0.1,0.09,-0.15,-0.49,-0.04
2018.06,-0.02,0.23,-0.13,0.16,0.01,0.14,-0.01,-0.56,0.2,0.01,-0.28,-0.19,-0.17,-0.07,0.16,-0.1,-0.46,0.08
2018.07,-0.02,0.32,-0.14,0.14,-0.08,0.27,0.02,-0.7,0.29,0,-0.24,-0.2,-0.17,-0.08,0.16,-0.14,-0.51,0.04
2018.08,0.02,0.63,-0.23,0.19,-0.17,0.29,0.16,-0.85,0.07,0.05,-0.22,-0.28,-0.18,-0.01,0.22,-0.24,-0.65,-0.04
2018.09,0.31,1.25,-0.13,0.36,0.01,0.67,0.18,-0.59,0.01,0.47,-0.1,-0.2,-0.03,0.07,0.28,-0.2,-0.51,0.2
2018.1,0.19,0.51,-0.09,0.56,0.15,0.61,0.57,-0.76,0.17,0.42,-0.19,-0.27,-0.17,0.07,0.35,-0.19,-0.43,0.05
2018.11,0.13,0.2,-0.13,0.53,0.3,0.46,0.63,-0.83,0.27,0.26,-0.15,-0.19,-0.08,0.08,0.55,-0.15,-0.31,0.21
2018.12,-0.01,0.04,-0.18,0.44,0.32,0.42,0.5,-0.89,0.05,0.03,-0.3,-0.31,-0.15,0.05,0.39,-0.25,-0.46,0.14
2019.01,-0.15,-0.2,-0.19,0.15,-0.04,0.18,0.25,-0.67,0.07,-0.13,-0.22,-0.33,-0.24,-0.1,0.17,-0.25,-0.41,-0.05
2019.02,-0.12,-0.19,-0.13,0.08,-0.05,0.14,0.12,-0.43,-0.08,-0.11,-0.13,-0.22,-0.17,-0.04,0.14,-0.2,-0.26,-0.01
2019.03,-0.16,-0.22,-0.17,0.05,-0.05,0.07,0.06,-0.43,-0.2,-0.18,-0.25,-0.27,-0.24,-0.14,0.14,-0.18,-0.29,-0.03
2019.04,-0.21,-0.18,-0.22,0.02,-0.05,0.04,0.02,-0.55,-0.61,-0.32,-0.19,-0.39,-0.21,-0.16,0.2,-0.29,-0.33,-0.04
2019.05,-0.16,-0.11,-0.22,0.06,-0.03,-0.02,0.21,-0.39,-0.3,-0.25,-0.39,-0.34,-0.16,-0.09,0.13,-0.22,-0.28,-0.03
2019.06,-0.13,-0.04,-0.22,0.03,0,-0.04,0.36,-0.37,-0.42,-0.17,-0.26,-0.4,-0.15,-0.14,0.16,-0.24,-0.32,-0.15
2019.07,-0.09,0.07,-0.21,0.01,-0.04,-0.05,0.35,-0.31,-0.28,-0.07,-0.32,-0.33,-0.11,-0.14,0.14,-0.17,-0.44,-0.3
2019.08,-0.05,0.14,-0.16,0.03,-0.11,-0.01,0.77,-0.26,-0.08,0.01,-0.43,-0.35,-0.18,-0.15,0.15,-0.19,-0.4,-0.34
2019.09,0.01,0.17,-0.17,0.08,0.16,0.01,0.94,-0.19,0,0.11,-0.38,-0.24,-0.11,-0.19,0.13,-0.16,-0.39,-0.37
2019.1,0.12,0.44,-0.12,0.19,0.15,0.02,1.22,0.04,0.1,0.18,-0.14,-0.25,-0.08,-0.1,0.16,-0.14,-0.31,-0.47
2019.11,0.19,0.5,0.05,0.22,0.22,0.1,1.17,0.19,0.03,0.28,-0.11,-0.09,-0.07,-0.14,0.18,-0.14,-0.12,-0.53
2019.12,0.38,0.86,0.45,0.29,0.41,0.12,1.15,0.4,0.83,0.5,-0.16,0.01,0.1,-0.04,0.15,-0.19,0.01,-0.53
