시점,출생아수(명),조출생률(천명당),사망자수(명),조사망률(천명당),자연증가건수(명),자연증가율(천명당),혼인건수(건),조혼인율(천명당),이혼건수(건),조이혼율(천명당),주택매매가격지수,주택가변동률
2010.03,40975,9.7,21553,5.1,19422,4.6,27514,6.5,10193,2.4,78.74687057,0.211
2010.04,38336,9.4,20978,5.1,17358,4.2,27195,6.6,9445,2.3,78.88441969,0.112
2010.05,37005,8.7,21483,5.1,15522,3.7,28341,6.7,9290,2.2,78.90369068,0.072
2010.06,36028,8.8,20466,5,15562,3.8,28370,6.9,10285,2.5,78.90235562,0.016
2010.07,37106,8.8,20619,4.9,16487,3.9,24643,5.8,9880,2.3,78.77809818,-0.031
2010.08,38392,9.1,20476,4.8,17916,4.2,26157,6.2,9727,2.3,78.69866369,-0.031
2010.09,42294,10.3,20485,5,21809,5.3,21179,5.2,9238,2.2,78.74992472,-0.07
2010.10,43625,10.3,22892,5.4,20733,4.9,24224,5.7,9846,2.3,78.88441261,-0.057
2010.11,41318,10.1,22046,5.4,19272,4.7,30189,7.4,10781,2.6,79.14067284,0.026
2010.12,35517,8.4,23007,5.4,12510,2.9,37749,8.9,10289,2.4,79.41057851,0.124
2011.01,47577,11.2,23672,5.6,23905,5.6,26786,6.3,8959,2.1,79.73653691,0.1
2011.02,38160,9.9,20869,5.4,17291,4.5,23606,6.2,8282,2.2,80.29437425,0.096
2011.03,43260,10.2,22224,5.2,21036,4.9,27701,6.5,9652,2.3,80.99279204,0.115
2011.04,40376,9.8,21246,5.2,19130,4.6,25682,6.2,8474,2.1,81.91610606,0.1
2011.05,38958,9.2,21667,5.1,17291,4.1,30084,7.1,9468,2.2,82.03916481,0.089
2011.06,36766,8.9,20593,5,16173,3.9,27882,6.8,9780,2.4,82.42181782,0.088
2011.07,38168,9,20222,4.8,17946,4.2,23475,5.5,9520,2.2,82.74857127,0.085
2011.08,39360,9.2,20822,4.9,18538,4.4,26885,6.3,9745,2.3,83.15004704,0.078
2011.09,38963,9.5,20257,4.9,18706,4.5,21070,5.1,9973,2.4,83.56592908,0.08
2011.10,38359,9,21870,5.1,16489,3.9,25892,6.1,9669,2.3,83.87087987,0.082
2011.11,37328,9.1,21352,5.2,15976,3.9,31468,7.6,10415,2.5,84.16923158,0.081
2011.12,33990,8,22602,5.3,11388,2.7,38556,9,10347,2.4,84.28354018,0.084
2012.01,44984,10.6,23997,5.6,20987,4.9,29197,6.9,9013,2.1,84.48983353,0.071
2012.02,40609,10.2,24985,6.3,15624,3.9,25611,6.4,9398,2.4,84.49587646,0.082
2012.03,43209,10.2,24055,5.6,19154,4.5,28134,6.6,9511,2.2,84.51362484,0.117
2012.04,40094,9.7,22125,5.4,17969,4.4,27792,6.7,8524,2.1,84.46435804,0.11
2012.05,39388,9.2,21640,5.1,17748,4.2,27632,6.5,10115,2.4,84.38769613,0.101
2012.06,38170,9.3,20273,4.9,17897,4.3,26009,6.3,9702,2.4,84.2042228,0.079
2012.07,40127,9.4,20446,4.8,19681,4.6,24417,5.7,10158,2.4,83.98051642,0.025
2012.08,41455,9.7,21178,5,20277,4.8,24358,5.7,9970,2.3,83.7444931,-0.008
2012.09,41735,10.1,20364,4.9,21371,5.2,18974,4.6,9137,2.2,83.54744264,-0.016
2012.10,41889,9.8,22909,5.4,18980,4.4,27120,6.4,9972,2.3,83.38886201,0.033
2012.11,38579,9.3,22015,5.3,16564,4,30499,7.4,9915,2.4,83.25339878,0.046
2012.12,34311,8,23234,5.4,11077,2.6,37330,8.7,8901,2.1,83.07656696,0.076
2013.01,44247,10.3,23930,5.6,20317,4.7,28811,6.7,9371,2.2,82.8633871,-0.013
2013.02,36645,9.5,21903,5.7,14742,3.8,24060,6.2,8447,2.2,82.72067113,0.052
2013.03,38540,9,24221,5.6,14319,3.3,23574,5.5,8528,2,82.65606793,0.112
2013.04,36738,8.9,22259,5.4,14479,3.5,24381,5.9,9197,2.2,82.75354386,0.161
2013.05,35626,8.3,21946,5.1,13680,3.2,30836,7.2,10266,2.4,82.89616007,0.163
2013.06,33154,8,20296,4.9,12858,3.1,26215,6.3,9172,2.2,82.92487659,0.105
2013.07,36188,8.4,20519,4.8,15669,3.6,27256,6.3,10789,2.5,82.86668645,-0.039
2013.08,36400,8.5,21252,4.9,15148,3.5,25646,6,9827,2.3,82.7584929,-0.006
2013.09,37063,8.9,21151,5.1,15912,3.8,19236,4.6,9371,2.3,82.79695852,0.106
2013.10,36055,8.4,22718,5.3,13337,3.1,27081,6.3,10590,2.5,83.03445814,0.202
2013.11,33827,8.1,22802,5.5,11025,2.6,28426,6.8,9742,2.3,83.19601218,0.176
2013.12,31972,7.4,23260,5.4,8712,2,37285,8.7,9992,2.3,83.3300442,0.176
2014.01,41229,9.6,23387,5.4,17842,4.1,26940,6.3,9072,2.1,83.52825099,0.147
2014.02,36754,9.5,23135,5.9,13619,3.5,25043,6.4,9269,2.4,83.69722483,0.176
2014.03,38021,8.8,24231,5.6,13790,3.2,24988,5.8,9472,2.2,83.89101222,0.26
2014.04,37183,8.9,21821,5.2,15362,3.7,23841,5.7,9576,2.3,83.94517369,0.208
2014.05,35749,8.3,22184,5.1,13565,3.1,28324,6.6,9852,2.3,83.96268943,0.17
2014.06,34171,8.2,20594,4.9,13577,3.3,24789,5.9,9638,2.3,83.97818355,0.17
2014.07,36390,8.4,20854,4.8,15536,3.6,24967,5.8,10342,2.4,84.00824419,0.198
2014.08,36539,8.5,20974,4.9,15565,3.6,22294,5.2,9162,2.1,84.08544688,0.177
2014.09,37879,9.1,21153,5.1,16726,4,19326,4.6,9889,2.4,84.28660291,0.241
2014.10,36450,8.4,22612,5.2,13838,3.2,27118,6.3,10027,2.3,84.48930318,0.256
2014.11,32379,7.8,22491,5.4,9888,2.4,23602,5.6,9321,2.2,84.63482565,0.19
2014.12,32691,7.6,24256,5.6,8435,2,34275,7.9,9890,2.3,84.75409785,0.182
2015.01,41914,9.7,24760,5.7,17154,4,28396,6.6,9286,2.1,84.87587443,0.171
2015.02,35709,9.2,23209,5.9,12500,3.2,20912,5.4,7779,2,85.04719145,0.181
2015.03,40329,9.3,26493,6.1,13836,3.2,27197,6.3,9219,2.1,85.30643508,0.208
2015.04,38072,9.1,23610,5.6,14462,3.5,24669,5.9,8818,2.1,85.67170728,0.24
